EventDateTime,inside_nest,outside_nest,inactive_in_nest,active_in_nest,active__in_nest_,circling__in_nest_,digging__in_nest_,drinking,eating,nest_entry,nest_exit,nesting__in_nest_,still__in_nest_,walling
10-Oct-2025 02:02:05,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:02:06,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:02:07,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:02:08,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:02:09,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:02:10,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:02:11,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:02:12,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:02:13,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:02:14,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:02:15,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:02:16,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:02:17,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:02:18,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:02:19,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:02:20,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:02:21,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:02:22,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:02:23,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:02:24,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:02:25,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:02:26,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:02:27,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:02:28,1,0,0,1,1,0,0,0,0,0,0,0,0,0
10-Oct-2025 02:02:29,1,0,0,1,1,0,0,0,0,0,0,0,0,0
10-Oct-2025 02:02:30,1,0,0,1,1,0,0,0,0,0,0,0,0,0
10-Oct-2025 02:02:31,1,0,0,1,1,0,0,0,0,0,0,0,0,0
10-Oct-2025 02:02:32,1,0,0,1,1,0,0,0,0,0,0,0,0,0
10-Oct-2025 02:02:33,1,0,0,1,1,0,0,0,0,0,0,0,0,0
10-Oct-2025 02:02:34,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:02:35,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:02:36,1,0,0,1,1,0,0,0,0,0,0,0,0,0
10-Oct-2025 02:02:37,1,0,0,1,1,0,0,0,0,0,0,0,0,0
10-Oct-2025 02:02:38,1,0,0,1,1,0,0,0,0,0,0,0,0,0
10-Oct-2025 02:02:39,1,0,0,1,1,0,0,0,0,0,0,0,0,0
10-Oct-2025 02:02:40,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:02:41,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:02:42,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:02:43,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:02:44,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:02:45,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:02:46,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:02:47,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:02:48,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:02:49,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:02:50,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:02:51,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:02:52,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:02:53,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:02:54,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:02:55,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:02:56,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:02:57,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:02:58,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:02:59,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:03:00,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:03:01,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:03:02,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:03:03,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:03:04,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:03:05,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:03:06,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:03:07,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:03:08,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:03:09,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:03:10,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:03:11,1,0,0,1,1,0,0,0,0,0,0,0,0,0
10-Oct-2025 02:03:12,1,0,0,1,1,0,0,0,0,0,0,0,0,0
10-Oct-2025 02:03:13,1,0,0,1,0,0,0,0,0,0,0,0,0,0
10-Oct-2025 02:03:14,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:03:15,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:03:16,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:03:17,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:03:18,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:03:19,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:03:20,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:03:21,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:03:22,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:03:23,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:03:24,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:03:25,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:03:26,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:03:27,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:03:28,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:03:29,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:03:30,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:03:31,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:03:32,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:03:33,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:03:34,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:03:35,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:03:36,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:03:37,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:03:38,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:03:39,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:03:40,1,0,1,0,0,0,0,0,0,0,0,0,1,0
10-Oct-2025 02:03:41,1,0,1,0,0,0,0,0,0,0,0,0,1,0
